,"(('electricity', 'demand_elec'), 'flow')","(('electricity', 'electricity_excess'), 'flow')","(('pp_coal_new', 'electricity'), 'flow')","(('pp_gas', 'electricity'), 'flow')","(('pp_lignite_new', 'electricity'), 'flow')","(('pv', 'electricity'), 'flow')","(('pv_old', 'electricity'), 'flow')","(('wind_off', 'electricity'), 'flow')","(('wind_off_old', 'electricity'), 'flow')","(('wind_on', 'electricity'), 'flow')","(('wind_on_old', 'electricity'), 'flow')"
2018-01-01 00:00:00,49340.81738477318,5846.4081,43211.773,-0.0,0.0,0.0,0.0,0.0,3782.14,0.0,8193.312
2018-01-01 01:00:00,45761.6564562183,9828.755,43211.773,-0.0,0.0,0.0,0.0,0.0,3698.75,0.0,8679.887999999999
2018-01-01 02:00:00,44795.746113207184,11066.929,43211.773,-0.0,0.0,0.0,0.0,0.0,3515.83,0.0,9135.072
2018-01-01 03:00:00,43962.15225554006,12039.475,43211.773,-0.0,0.0,0.0,0.0,0.0,3660.014,0.0,9129.84
2018-01-01 04:00:00,44187.09028062484,12490.651,43211.773,-0.0,0.0,0.0,0.0,0.0,3912.336,0.0,9553.632000000001
2018-01-01 05:00:00,45239.00633910955,11780.995,43211.773,-0.0,0.0,0.0,0.0,0.0,4029.620000000001,0.0,9778.608
2018-01-01 06:00:00,48057.3474769365,9759.022,43211.773,-0.0,0.0,0.0,0.0,0.0,4145.8279999999995,0.0,10458.768
2018-01-01 07:00:00,54898.109769220675,3714.8837,43211.773,-0.0,0.0,0.0,0.0,0.0,4309.379999999999,0.0,11091.84
2018-01-01 08:00:00,60759.730069959354,12624.459,43211.773,-0.0,0.0,12100.0,1926.7600000000002,0.0,4211.464,0.0,11934.192
2018-01-01 09:00:00,62208.595584476025,38230.952,43211.773,-0.0,0.0,34650.0,5517.54,0.0,4231.37,0.0,12828.864
2018-01-01 10:00:00,62499.6918522328,52743.622,43211.773,-0.0,0.0,48125.0,7663.249999999999,0.0,4356.186,0.0,11887.104000000001
2018-01-01 11:00:00,63028.95779360875,62174.816,43211.773,-0.0,0.0,56650.0,9020.740000000002,0.0,4470.78,0.0,11850.48
2018-01-01 12:00:00,63386.212304037515,62723.451,43211.773,-0.0,0.0,56925.0,9064.529999999999,0.0,4435.272,0.0,12473.088
2018-01-01 13:00:00,62823.86724132557,49488.284,43211.773,-0.0,0.0,43450.0,6918.82,0.0,4505.75,0.0,14225.807999999999
2018-01-01 14:00:00,62446.7652580952,22871.078,43211.773,-0.0,0.0,17600.0,2802.56,0.0,4626.262,0.0,17077.248
2018-01-01 15:00:00,61930.73096525365,5788.2085,43211.773,-0.0,0.0,550.0,87.58,0.0,4741.394,0.0,19128.192
2018-01-01 16:00:00,61771.951182840865,6321.7543,43211.773,-0.0,0.0,0.0,0.0,0.0,4853.836,0.0,20028.095999999998
2018-01-01 17:00:00,62883.409659730365,6513.4418,43211.773,-0.0,0.0,0.0,0.0,0.0,5000.71,0.0,21184.368
2018-01-01 18:00:00,64616.755617736606,6617.9278,43211.773,-0.0,0.0,0.0,0.0,0.0,5127.678,0.0,22895.232
2018-01-01 19:00:00,63769.93011153508,9707.4393,43211.773,-0.0,0.0,0.0,0.0,0.0,5193.852,0.0,25071.744000000002
